Image_Metadata_MasterIndex,ImageNumber,ObjectNumber,Class,Image_ImageQuality_TotalArea_OrigDNA.x,UserAnnotation_Debris,UserAnnotation_Ded,UserAnnotation_Empty,UserAnnotation_Saturated,UserAnnotation_Blurry,Image_FileName_OrigAGP,Image_FileName_OrigDNA,Image_FileName_OrigER,Image_FileName_OrigMito,Image_FileName_OrigRNA,Image_PathName_OrigAGP,Image_PathName_OrigDNA,Image_PathName_OrigER,Image_PathName_OrigMito,Image_PathName_OrigRNA,Image_URL_OrigAGP,Image_URL_OrigDNA,Image_URL_OrigER,Image_URL_OrigMito,Image_URL_OrigRNA,Image_FileName_OrigActin,Image_FileName_OrigGolgi,Image_PathName_OrigActin,Image_PathName_OrigGolgi,Image_URL_OrigActin,Image_URL_OrigGolgi,Image_ImageQuality_TotalArea_OrigDNA.y
3,72,1,DNA,2585664,1,0,0,0,0,"WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigAGP.tiff","WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigDNA.tiff","WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigER.tiff","WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigMito.tiff",NA,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,NA,"s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigAGP.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigDNA.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigER.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigMito.tiff",NA,NA,NA,NA,NA,NA,NA,2585664
2,39,1,DNA,2585664,1,0,0,0,0,"WellB15_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0033Seq0033_OrigAGP.tiff","WellB15_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0033Seq0033_OrigDNA.tiff","WellB15_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0033Seq0033_OrigER.tiff","WellB15_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0033Seq0033_OrigMito.tiff",NA,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,NA,"s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellB15_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0033Seq0033_OrigAGP.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellB15_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0033Seq0033_OrigDNA.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellB15_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0033Seq0033_OrigER.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellB15_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0033Seq0033_OrigMito.tiff",NA,NA,NA,NA,NA,NA,NA,2585664
1,24,1,DNA,2585664,1,0,0,0,0,"WellA24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0023Seq0023_OrigAGP.tiff","WellA24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0023Seq0023_OrigDNA.tiff","WellA24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0023Seq0023_OrigER.tiff","WellA24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0023Seq0023_OrigMito.tiff",NA,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,NA,"s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellA24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0023Seq0023_OrigAGP.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellA24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0023Seq0023_OrigDNA.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellA24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0023Seq0023_OrigER.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellA24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0023Seq0023_OrigMito.tiff",NA,NA,NA,NA,NA,NA,NA,2585664
5,101,1,ER,2585664,1,0,0,0,0,"WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigAGP.tiff","WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigDNA.tiff","WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigER.tiff","WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigMito.tiff",NA,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,NA,"s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigAGP.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigDNA.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigER.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigMito.tiff",NA,NA,NA,NA,NA,NA,NA,2585664
4,99,1,ER,2585664,1,0,0,0,0,"WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigAGP.tiff","WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigDNA.tiff","WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigER.tiff","WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigMito.tiff",NA,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,NA,"s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigAGP.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigDNA.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigER.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigMito.tiff",NA,NA,NA,NA,NA,NA,NA,2585664
3,72,1,ER,2585664,1,0,0,0,0,"WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigAGP.tiff","WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigDNA.tiff","WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigER.tiff","WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigMito.tiff",NA,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,NA,"s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigAGP.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigDNA.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigER.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellC24_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0071Seq0071_OrigMito.tiff",NA,NA,NA,NA,NA,NA,NA,2585664
5,101,1,Mito,2585664,1,0,0,0,0,"WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigAGP.tiff","WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigDNA.tiff","WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigER.tiff","WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigMito.tiff",NA,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,NA,"s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigAGP.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigDNA.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigER.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigMito.tiff",NA,NA,NA,NA,NA,NA,NA,2585664
4,99,1,Mito,2585664,1,0,0,0,0,"WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigAGP.tiff","WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigDNA.tiff","WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigER.tiff","WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigMito.tiff",NA,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,NA,"s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigAGP.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigDNA.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigER.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigMito.tiff",NA,NA,NA,NA,NA,NA,NA,2585664
5,101,1,AGP,2585664,1,0,0,0,0,"WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigAGP.tiff","WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigDNA.tiff","WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigER.tiff","WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigMito.tiff",NA,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,NA,"s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigAGP.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigDNA.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigER.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE05_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0100Seq0100_OrigMito.tiff",NA,NA,NA,NA,NA,NA,NA,2585664
4,99,1,AGP,2585664,1,0,0,0,0,"WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigAGP.tiff","WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigDNA.tiff","WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigER.tiff","WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigMito.tiff",NA,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,D:\2020_11_24_Scope1_Nikon\tifs\201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386,NA,"s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigAGP.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigDNA.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigER.tiff","s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_24_Scope1_Nikon/tifs/201026_kag_Painting_Test_BR00117060a10x__20201118_153539_386/WellE03_ChannelHoechst - Camera,FITC-Camera,TRITC-Camera,Cy5 Camera_Seq0098Seq0098_OrigMito.tiff",NA,NA,NA,NA,NA,NA,NA,2585664
