Image_Metadata_MasterIndex,ImageNumber,ObjectNumber,Class,Image_ImageQuality_TotalArea_OrigDNA.x,UserAnnotation_Debris,UserAnnotation_Ded,UserAnnotation_Empty,UserAnnotation_Saturated,UserAnnotation_Blurry,Image_PathName_OrigAGP,Image_PathName_OrigDNA,Image_PathName_OrigER,Image_PathName_OrigMito,Image_PathName_OrigRNA,Image_URL_OrigAGP,Image_URL_OrigDNA,Image_URL_OrigER,Image_URL_OrigMito,Image_URL_OrigRNA,Image_PathName_OrigActin,Image_PathName_OrigGolgi,Image_URL_OrigActin,Image_URL_OrigGolgi,Image_ImageQuality_TotalArea_OrigDNA.y
5,3,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0001F0003T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0001F0003T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0001F0003T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0001F0003T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0001F0003T0001Z000C3.tif,NA,NA,NA,NA,4000000
4,323,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0162F0001T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0162F0001T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0162F0001T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0162F0001T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0162F0001T0001Z000C3.tif,NA,NA,NA,NA,4000000
3,194,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0097F0002T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0097F0002T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0097F0002T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0097F0002T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0097F0002T0001Z000C3.tif,NA,NA,NA,NA,4000000
2,113,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0057F0001T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0057F0001T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0057F0001T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0057F0001T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0057F0001T0001Z000C3.tif,NA,NA,NA,NA,4000000
1,44,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201020T134356_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0022F0002T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0022F0002T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0022F0002T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0022F0002T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201020T134356_/Projection/W0022F0002T0001Z000C3.tif,NA,NA,NA,NA,4000000
10,86,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0010F0005T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0010F0005T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0010F0005T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0010F0005T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0010F0005T0001Z000C3.tif,NA,NA,NA,NA,4000000
9,66,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0008F0003T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0008F0003T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0008F0003T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0008F0003T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0008F0003T0001Z000C3.tif,NA,NA,NA,NA,4000000
8,47,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0006F0002T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0006F0002T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0006F0002T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0006F0002T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0006F0002T0001Z000C3.tif,NA,NA,NA,NA,4000000
7,46,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0006F0001T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0006F0001T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0006F0001T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0006F0001T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0006F0001T0001Z000C3.tif,NA,NA,NA,NA,4000000
6,4,1,Mito,4000000,1,0,0,0,0,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,D:\2020_10_27_Scope1_YokogawaJapan\images\20201021T092317_\Projection,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0001F0004T0001Z000C4.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0001F0004T0001Z000C1.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0001F0004T0001Z000C2.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0001F0004T0001Z000C5.tif,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_10_27_Scope1_YokogawaJapan/images/20201021T092317_/Projection/W0001F0004T0001Z000C3.tif,NA,NA,NA,NA,4000000
