Image_Metadata_MasterIndex,ImageNumber,ObjectNumber,Class,Image_ImageQuality_TotalArea_OrigDNA.x,UserAnnotation_Blurry,UserAnnotation_Debris,UserAnnotation_Empty,Image_PathName_OrigActin,Image_PathName_OrigDNA,Image_PathName_OrigER,Image_PathName_OrigGolgi,Image_PathName_OrigMito,Image_PathName_OrigRNA,Image_URL_OrigActin,Image_URL_OrigDNA,Image_URL_OrigER,Image_URL_OrigGolgi,Image_URL_OrigMito,Image_URL_OrigRNA,Image_ImageQuality_TotalArea_OrigDNA.y
5,20,1,DNA,26214400,0,1,0,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A05_s4_w2.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A05_s4_w6.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A05_s4_w5.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A05_s4_w3.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A05_s4_w1.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A05_s4_w4.TIF,26214400
4,19,1,DNA,26214400,0,1,0,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A05_s3_w2.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A05_s3_w6.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A05_s3_w5.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A05_s3_w3.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A05_s3_w1.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A05_s3_w4.TIF,26214400
3,15,1,DNA,26214400,0,1,0,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A04_s3_w2.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A04_s3_w6.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A04_s3_w5.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A04_s3_w3.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A04_s3_w1.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A04_s3_w4.TIF,26214400
2,13,1,DNA,26214400,0,1,0,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A04_s1_w2.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A04_s1_w6.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A04_s1_w5.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A04_s1_w3.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A04_s1_w1.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A04_s1_w4.TIF,26214400
1,4,1,DNA,26214400,0,1,0,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A01_s4_w2.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A01_s4_w6.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A01_s4_w5.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A01_s4_w3.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A01_s4_w1.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A01_s4_w4.TIF,26214400
10,29,1,DNA,26214400,0,1,0,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A08_s1_w2.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A08_s1_w6.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A08_s1_w5.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A08_s1_w3.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A08_s1_w1.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A08_s1_w4.TIF,26214400
9,28,1,DNA,26214400,0,1,0,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A07_s4_w2.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A07_s4_w6.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A07_s4_w5.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A07_s4_w3.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A07_s4_w1.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A07_s4_w4.TIF,26214400
8,26,1,DNA,26214400,0,1,0,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A07_s2_w2.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A07_s2_w6.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A07_s2_w5.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A07_s2_w3.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A07_s2_w1.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A07_s2_w4.TIF,26214400
7,23,1,DNA,26214400,0,1,0,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A06_s3_w2.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A06_s3_w6.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A06_s3_w5.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A06_s3_w3.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A06_s3_w1.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A06_s3_w4.TIF,26214400
6,22,1,DNA,26214400,0,1,0,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,D:\2020_11_06_Scope1_MolDev\images\Plate2-PCO-6ch-4site-10XPA_Plate_20092\TimePoint_1,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A06_s2_w2.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A06_s2_w6.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A06_s2_w5.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A06_s2_w3.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A06_s2_w1.TIF,s3://jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_06_Scope1_MolDev/images/Plate2-PCO-6ch-4site-10XPA_Plate_20092/TimePoint_1/Plate2-PCO-6ch-4site-10XPA_A06_s2_w4.TIF,26214400
