is_nd2,setname,filename,n_channels,n_sites,n_images,image_width,Image_Metadata_Plate,Debris,Empty,Blurry,Good,annot_type
FALSE,DavidPearlQCFixed,Classifier_20201020T134356__David,5,768,3840,2000,20201020T134356,20,70,0,3750,user
FALSE,DavidPearlQCFixed,Classifier_20201021T092317__Pearl,5,3454,17270,2000,20201021T092317,345,145,0,16780,user
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1151,5755,1080,CPBroadPhenixC1PlaneP4,20,145,0,5590,user
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixC1PlaneP1,5,170,0,5585,user
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixC1PlaneP2,10,140,0,5605,user
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixC1PlaneP3,0,165,0,5595,user
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixCP1,5,170,0,5585,user
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixCP2,10,155,0,5595,user
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixCP3,0,160,0,5600,user
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixCP4,10,130,0,5620,user
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNC1PlaneP1,195,185,0,5360,user
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNC1PlaneP2,10,25,0,5725,user
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNC1PlaneP3,15,40,0,5705,user
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNC1PlaneP4,10,25,0,5725,user
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNCP1,5,5,0,5750,user
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNCP2,5,5,0,5750,user
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNCP3,5,15,0,5740,user
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNCP4,5,10,0,5745,user
FALSE,DavidPearlQCFixed,Classifier_Plate2-PCO-6ch-4site-10XPA_David,6,1533,9198,5120,Plate3_PCO_6ch_4site_10XPA_Crestz,498,84,60,8556,user
FALSE,DavidPearlQCFixed,Classifier_Plate2-PCO-6ch-4site-10XPA_David,6,1535,9210,5120,Plate2_PCO_6ch_4site_10XPA,1188,84,72,7866,user
FALSE,DavidPearlQCFixed,Classifier_Plate2-PCO-6ch-4site-10XPA_David,6,1536,9216,5120,Plate3_PCO_6ch_4site_10XPA_Crest,1188,84,468,7476,user
FALSE,ErinQC,Classifier_Batch11_Erin,5,1535,7675,2000,BRO0117014_10x,350,80,10,7235,user
FALSE,ErinQC,Classifier_Batch12_Erin,5,833,4165,2000,BRO0117033_20x,0,230,0,3935,user
FALSE,ErinQC,Classifier_Batch12_Erin,5,3454,17270,1994,BRO0117059_20X,0,170,0,17100,user
FALSE,ErinQC,Classifier_Batch12_Erin,5,3456,17280,2000,BRO0117033_20xb,115,455,0,16710,user
FALSE,ErinQC,Classifier_Batch12_Erin,5,3456,17280,2000,BRO0117056_20x,0,265,0,17015,user
FALSE,ErinQC,Classifier_Batch12_Erin,5,3456,17280,2000,BRO0117056_20xb,0,280,0,17000,user
FALSE,ErinQC,Classifier_Batch12_Erin,5,3465,17325,2000,BRO01177034_20x,0,425,0,16900,user
FALSE,ErinQC,Classifier_Batch13_Erin,5,3451,17255,1996,BRO0117059_40x,10,680,0,16565,user
FALSE,ErinQC,Classifier_NC_BIN1_Erin,5,1151,5755,2160,CP_Broad_Phenix_NC_BIN1_P3,35,75,300,5345,user
FALSE,ErinQC,Classifier_NC_BIN1_Erin,5,1151,5755,2160,CP_Broad_Phenix_NC_BIN1_P4,75,60,175,5445,user
FALSE,ErinQC,Classifier_NC_BIN1_Erin,5,1152,5760,2160,CP_Broad_Phenix_NC_BIN1_1Plane_P1,150,220,350,5040,user
FALSE,ErinQC,Classifier_NC_BIN1_Erin,5,1152,5760,2160,CP_Broad_Phenix_NC_BIN1_1Plane_P2,75,215,55,5415,user
FALSE,ErinQC,Classifier_NC_BIN1_Erin,5,1152,5760,2160,CP_Broad_Phenix_NC_BIN1_1Plane_P3,45,210,360,5145,user
FALSE,ErinQC,Classifier_NC_BIN1_Erin,5,1152,5760,2160,CP_Broad_Phenix_NC_BIN1_1Plane_P4,75,175,200,5310,user
FALSE,ErinQC,Classifier_NC_BIN1_Erin,5,1152,5760,2160,CP_Broad_Phenix_NC_BIN1_P1,100,205,225,5230,user
FALSE,ErinQC,Classifier_NC_BIN1_Erin,5,1152,5760,2160,CP_Broad_Phenix_NC_BIN1_P2,80,175,55,5450,user
TRUE,DavidPearlQCFixed,Classifier_Nikon_10X_Batch9-Pearl,4,384,1536,1608,BR00117060a10x,44,28,332,1128,user
TRUE,DavidPearlQCFixed,Classifier_Nikon_10X_Batch9-Pearl,4,384,1536,1608,BR00117061a10x,36,20,108,1360,user
TRUE,DavidPearlQCFixed,Classifier_Nikon_10X_Batch9-Pearl,4,384,1536,1608,BR00117062a10x,52,16,20,1448,user
TRUE,DavidPearlQCFixed,Classifier_Nikon_10X_Batch9-Pearl,4,384,1536,1608,BR00117063b10x,40,12,12,1460,user
TRUE,ErinQC,Classifier_Batch10_Erin,4,3456,13824,1608,BR00117061a,1400,360,1092,10972,user
TRUE,ErinQC,Classifier_Batch10_Erin,4,3456,13824,1608,BR00117062a,4208,348,1316,7944,user
TRUE,ErinQC,Classifier_Batch10_Erin,4,3456,13824,1608,BR00117063b,4488,268,448,8620,user
FALSE,DavidPearlQCFixed,Classifier_20201020T134356__David,5,768,3840,2000,20201020T134356,20,210,0,3610,cpa
FALSE,DavidPearlQCFixed,Classifier_20201021T092317__Pearl,5,3454,17270,2000,20201021T092317,2585,180,0,14505,cpa
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1151,5755,1080,CPBroadPhenixC1PlaneP4,5,165,0,5585,cpa
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixC1PlaneP1,5,170,0,5585,cpa
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixC1PlaneP2,0,165,0,5590,cpa
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixC1PlaneP3,5,165,0,5590,cpa
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixCP1,0,175,0,5585,cpa
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixCP2,0,165,0,5595,cpa
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixCP3,5,160,0,5595,cpa
FALSE,DavidPearlQCFixed,Classifier_C_BIN2__David,5,1152,5760,1080,CPBroadPhenixCP4,0,140,0,5620,cpa
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNC1PlaneP1,180,200,0,5360,cpa
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNC1PlaneP2,95,215,0,5450,cpa
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNC1PlaneP3,130,205,0,5425,cpa
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNC1PlaneP4,95,180,0,5485,cpa
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNCP1,210,210,0,5340,cpa
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNCP2,110,205,0,5445,cpa
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNCP3,120,200,0,5440,cpa
FALSE,DavidPearlQCFixed,Classifier_PE_NC_Bin2_Pearl,5,1152,5760,1080,CPBroadPhenixNCP4,80,170,0,5510,cpa
FALSE,DavidPearlQCFixed,Classifier_Plate2-PCO-6ch-4site-10XPA_David,6,1533,9198,5120,Plate3_PCO_6ch_4site_10XPA_Crestz,492,78,102,8568,cpa
FALSE,DavidPearlQCFixed,Classifier_Plate2-PCO-6ch-4site-10XPA_David,6,1535,9210,5120,Plate2_PCO_6ch_4site_10XPA,1266,120,150,7752,cpa
FALSE,DavidPearlQCFixed,Classifier_Plate2-PCO-6ch-4site-10XPA_David,6,1536,9216,5120,Plate3_PCO_6ch_4site_10XPA_Crest,1158,102,834,7488,cpa
FALSE,ErinQC,Classifier_Batch11_Erin,5,1535,7675,2000,BRO0117014_10x,580,115,0,6980,cpa
FALSE,ErinQC,Classifier_Batch12_Erin,5,833,4165,2000,BRO0117033_20x,5,250,0,3910,cpa
FALSE,ErinQC,Classifier_Batch12_Erin,5,3454,17270,1994,BRO0117059_20X,0,190,0,17080,cpa
FALSE,ErinQC,Classifier_Batch12_Erin,5,3456,17280,2000,BRO0117033_20xb,310,565,0,16405,cpa
FALSE,ErinQC,Classifier_Batch12_Erin,5,3456,17280,2000,BRO0117056_20x,0,350,0,16930,cpa
FALSE,ErinQC,Classifier_Batch12_Erin,5,3456,17280,2000,BRO0117056_20xb,0,355,0,16925,cpa
FALSE,ErinQC,Classifier_Batch12_Erin,5,3465,17325,2000,BRO01177034_20x,0,520,0,16805,cpa
FALSE,ErinQC,Classifier_Batch13_Erin,5,3451,17255,1996,BRO0117059_40x,285,805,0,16165,cpa
FALSE,ErinQC,Classifier_NC_BIN1_Erin,5,1151,5755,2160,CP_Broad_Phenix_NC_BIN1_P3,1865,240,670,3350,cpa
